molecule_chembl_id,canonical_smiles,logPotency
CHEMBL281232,NCC(O)c1cc(O)c(O)cc1F,5.573830452964674
CHEMBL1595503,CCn1c(=O)c(C(=O)Nc2cccnc2)c(O)c2ccccc21,4.049999969853415
CHEMBL1303519,Cc1ccc(N2C(=O)C3ON(c4ccccc4)C(CC(C)C)C3C2=O)cc1,6.15002808767115
CHEMBL1448592,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],4.049999969853415
CHEMBL1318358,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,4.349999603463148
CHEMBL3194205,Cc1c(/N=C/c2cc3c(cc2[N+](=O)[O-])OCO3)cccc1[N+](=O)[O-],4.40000018605658
CHEMBL1978364,COc1ccc(Br)cc1/C=c1\sc2nc(-c3ccco3)nn2c1=O,4.100000128334196
CHEMBL222409,CN(C)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccc(F)c1,4.100000128334196
CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,4.049999969853415
CHEMBL1881004,CC(C)C[C@@H](CO)N1CCN(Cc2ccc(Br)cc2)CCC1=O,4.049999969853415
CHEMBL1303633,O=C(CSc1ccccc1C(=O)O)c1ccc([N+](=O)[O-])cc1,4.049999969853415
CHEMBL1303651,O=C(O)C(c1ccccc1)N1C(=O)/C(=C\c2ccc(-c3ccc(Br)cc3)o2)SC1=S,4.700000503883016
CHEMBL1501354,CC1(C)Cc2c(cnn2-c2ccc(F)cc2)C(NC(=O)CCN2CCCC2=O)C1,4.0
CHEMBL379064,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,4.250000251143582
CHEMBL1433546,CCOc1ccc(NC(=O)c2ccc(NC(=O)COC(=O)c3ccc(NC(=O)CC#N)cc3)cc2)cc1,4.049999969853415
CHEMBL1540468,COC(=O)c1ccc(CN2CCC(CO)(Cc3ccccc3Cl)CC2)cc1,4.049999969853415
CHEMBL1519612,Cc1sc2c(c1C)C(c1cccs1)=NCC(=O)N2CC(=O)NCc1cccs1,6.50003813440381
CHEMBL1547493,CC(C)(C)NC(=O)C(c1ccc(O)cc1)N(Cc1ccco1)C(=O)Cn1nnc(-c2cccs2)n1,4.049999969853415
CHEMBL1508485,COC(=O)C1=C(O)/C(=C\c2ccc(O)c(OC)c2)N=C1C,4.049999969853415
CHEMBL1553988,Cc1ccccc1Cn1c2ccccc2c2cnn(CC(=O)NC(C)CCc3ccccc3)c(=O)c21,4.049999969853415
CHEMBL173530,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,4.700000503883016
CHEMBL1491400,O=C(Nc1cccnc1)c1cc2cc(Br)ccc2oc1=O,4.100000128334196
CHEMBL109037,NC(Cc1cc(O)c(O)cc1O)C(=O)O,5.499996931948306
CHEMBL1423186,O=C1CC(=O)NC(SCC(=O)Nc2ccccc2[N+](=O)[O-])=N1,4.300000202445418
CHEMBL601713,CCn1cc(CCCC(=O)NCc2ccc(OC)cc2)c2ccccc21,4.300000202445418
CHEMBL1730252,Cc1cc(=O)c2c(o1)C(=O)c1occc1C2=O,4.300000202445418
